eval,score,cl,cd
1,-0.04100098254957801,-0.9768,0.01621
2,0.15223905340862365,-1.36797,0.015408
3,0.062127177160667846,-1.20558,0.016085
4,-0.2530253745813369,-1.20272,0.027005
5,0.03444387964997747,-1.0474,0.014654
6,0.06589738005188389,-1.2453,0.016555
7,0.16221794315270394,-1.37604,0.015183
8,0.018869124546819827,-1.19165,0.017379
9,0.053535627036832456,-1.34335,0.018469
10,0.059501926038166286,-1.31035,0.017762
11,-0.26051255730493217,-1.19932,0.027214
12,0.08041348141364646,-1.25587,0.01621
13,0.040181169841501885,-1.36809,0.019308
14,-0.1656672345572276,-1.02617,0.021294
15,0.06376896338258137,-1.24054,0.016557
16,0.06228364328580244,-1.20627,0.01609
17,0.0576338690914604,-1.22776,0.016577
18,0.056385052895508936,-1.19258,0.016088
19,-0.15080081671609524,-1.19797,0.023377
20,0.06979017390173614,-1.3708,0.018319
21,0.08257227583485338,-1.33708,0.017364
22,0.049772729052791176,-1.33741,0.01851
23,0.08349023430067021,-1.29208,0.016651
24,0.010174596248438084,-1.17193,0.017383
25,0.058312953738834605,-1.20494,0.016208
26,0.05377417471107182,-1.39081,0.019179
27,0.1507490780752873,-1.36699,0.015445
28,0.02839871118816195,-1.379,0.019883
29,0.018931301308342308,-1.18915,0.017339
30,0.04084433166294893,-1.06449,0.01469
31,0.15731978338723052,-1.37238,0.015298
32,0.05730933201188715,-1.18704,0.015972
33,0.06375899479705621,-1.24316,0.016597
34,0.14710331476179078,-1.36383,0.015524
35,0.03937403794740024,-1.22213,0.017127
36,0.11782082096360164,-1.35599,0.016424
37,0.08979082367979624,-1.28674,0.016351
38,0.05830543791235576,-1.31315,0.017846
39,0.09357321746578529,-1.28473,0.016189
40,0.07396727110787127,-1.247,0.0163
41,0.13667712602491178,-1.38387,0.01619
42,0.08268116597556846,-1.28989,0.016646
43,0.06732913723913114,-1.18972,0.015664
44,0.1505357362871073,-1.36683,0.01545
45,0.05727993675935378,-1.24102,0.01679
46,0.13790666025022136,-1.38663,0.016189
47,0.08993377947209436,-1.28654,0.016343
48,0.22003218063247687,-1.38418,0.013295
49,0.1572709923951568,-1.3724,0.0153
50,0.013995701584078701,-1.2526,0.018471
51,0.03606885182278752,-1.28979,0.018266
52,0.15499830807673837,-1.39235,0.015681
53,0.12089943793344271,-1.29032,0.015323
54,0.07602462353590328,-1.27459,0.016646
55,0.15250601207878278,-1.36713,0.015386
56,0.06466780877386158,-1.33154,0.017903
57,0.21870768959265635,-1.38325,0.013327
58,0.10434089384397788,-1.32091,0.016362
59,0.07253319476221254,-1.3183,0.017429
60,0.046458600622465485,-1.0916,0.014905
61,0.22578421659871173,-1.38379,0.013089
62,0.12688091880686253,-1.34728,0.015977
63,0.14248054431338764,-1.38895,0.016065
64,0.09776160093826713,-1.33704,0.016835
65,0.1562631675952439,-1.37233,0.015334
66,0.20719436728476426,-1.37608,0.013619
67,0.15701134330141692,-1.37253,0.015311
68,0.15663017501632992,-1.37357,0.01534
69,0.14721208179511874,-1.36408,0.015524
70,0.14305010375261645,-1.36383,0.015665
71,0.14983899366237963,-1.36655,0.01547
72,0.1563419381480774,-1.37337,0.015347
73,0.1615098570759385,-1.3758,0.015204
74,0.17292497458274292,-1.36616,0.014661
75,0.15769175818134457,-1.37416,0.015312
76,0.13081900362343407,-1.34576,0.015817
77,0.14960728181198818,-1.37018,0.015533
78,0.21889182691462872,-1.38255,0.01331
79,0.20777535010545972,-1.37616,0.0136
80,0.16181736366434268,-1.37578,0.015193
81,0.22526616871435629,-1.38326,0.013099
82,0.2249049206805852,-1.38091,0.013076
83,0.1516007459745342,-1.29858,0.01438
84,0.1571692012127986,-1.37395,0.015327
85,0.10009307400450967,-1.34524,0.016878
86,0.02958529082614003,-1.30429,0.018711
87,0.15673087429842097,-1.37248,0.01532
88,0.21723995979429223,-1.37948,0.013321
89,0.22181401918005073,-1.37962,0.013164
90,0.07974797477804763,-1.27218,0.01648
91,0.17091232384271782,-1.37792,0.014909
92,0.14771982736849937,-1.36974,0.015592
93,0.21501751980788836,-1.37642,0.013352
94,0.20764731335198033,-1.37613,0.013604
95,0.14650378655629187,-1.36972,0.015634
96,0.215554311444619,-1.38327,0.013437
97,0.21664008094360904,-1.38973,0.013497
98,0.22396895826147473,-1.37268,0.012984
99,0.21907036325214374,-1.38263,0.013305
100,0.23316550046014656,-1.37915,0.012762
101,0.21939634754641257,-1.38404,0.013315
102,0.215698234573796,-1.37924,0.013371
103,0.20952088989771356,-1.38189,0.013626
104,0.21995728555240424,-1.38414,0.013297
105,0.21717563307170523,-1.3792,0.013319
106,0.22221334836528767,-1.38067,0.013166
107,0.22468987030044335,-1.38068,0.01308
108,0.227253547345384,-1.38241,0.013017
109,0.1768471546478812,-1.31974,0.013822
110,0.22591225335219117,-1.38382,0.013085
111,0.2327091372090071,-1.37896,0.012775
112,0.17377390499945528,-1.32523,0.014012
113,0.23175116146196556,-1.38211,0.012856
114,0.19960930269104116,-1.37153,0.013814
115,0.2223373512431488,-1.38003,0.013152
116,0.23247745919808505,-1.37889,0.012782
117,0.23295790113954673,-1.37973,0.012778
118,0.22707307020886586,-1.37367,0.012891
119,0.22751397153367608,-1.38248,0.013009
120,0.21395442029323852,-1.37173,0.013318
121,0.23067793495893346,-1.38037,0.012867
122,0.10111340826215248,-1.16681,0.014142
123,0.23165449605549276,-1.38387,0.012886
124,0.217080993062909,-1.38037,0.01334
125,0.2085154411406614,-1.37687,0.013585
126,0.23755042743668042,-1.39947,0.012917
127,0.22989677003771047,-1.38538,0.01297
128,0.2278536245636391,-1.38445,0.013027
129,0.23422553343605673,-1.37934,0.012728
130,0.2297806257490247,-1.39324,0.013093
131,0.22398366813823173,-1.37833,0.013069
132,0.22975914918335932,-1.37991,0.012892
133,0.23157526721382177,-1.38197,0.01286
134,0.22751032214271127,-1.37375,0.012877
135,0.2271238019999428,-1.38231,0.01302
136,0.23002469914753665,-1.38019,0.012887
137,0.23167019018886342,-1.38384,0.012885
138,0.22536410134368806,-1.37886,0.013029
139,0.18483218203827084,-1.32402,0.013609
140,0.2271573909869528,-1.37948,0.012976
141,0.23043863056587738,-1.38167,0.012895
142,0.23334137778855563,-1.38114,0.012786
143,0.21807437403257535,-1.37968,0.013295
144,0.1900796988287225,-1.37295,0.014167
145,0.23387575341771105,-1.38032,0.012755
146,0.22521307780015348,-1.37772,0.013017
147,0.13300612911113163,-1.35343,0.015857
148,0.23071601611039905,-1.37907,0.012846
149,0.21530159211188926,-1.35626,0.013037
150,0.23071460740441735,-1.38019,0.012863
151,0.2329785626459453,-1.38024,0.012785
152,0.2339585747658977,-1.38018,0.01275
153,0.22812974288530186,-1.38449,0.013018
154,0.1450520093565632,-1.30368,0.014685
155,0.23578777867982903,-1.37857,0.012662
156,0.23171107183255796,-1.38215,0.012858
157,0.22431059672439968,-1.36144,0.012802
158,0.23087480751919048,-1.38036,0.01286
159,0.23842630004563825,-1.38589,0.012681
160,0.23068226872053182,-1.38223,0.012895
161,0.18127254961323097,-1.31564,0.013606
162,0.2347920385870365,-1.38236,0.012754
163,0.23273881688378656,-1.37883,0.012772
164,0.23124539052705734,-1.38141,0.012863
165,0.23297655416800367,-1.37898,0.012766
166,0.23309136355489157,-1.38116,0.012795
167,0.23130758420831465,-1.37706,0.012795
168,0.18567946687271597,-1.31011,0.013369
169,0.2213284345429689,-1.38042,0.013193
170,0.2337839308208784,-1.37925,0.012742
171,0.23666411570286938,-1.38217,0.012686
172,0.23158645226300206,-1.38226,0.012864
173,0.2377293082941343,-1.37887,0.012599
174,0.2150223395725484,-1.35912,0.01309
175,0.23475087397709676,-1.38101,0.012735
176,0.23286856222922775,-1.37893,0.012769
177,0.22249631184928692,-1.36282,0.012886
178,0.23359544281757266,-1.37994,0.012759
179,0.23370965243250075,-1.37974,0.012752
180,0.22849938627051414,-1.36935,0.012776
181,0.22084336974841812,-1.35836,0.012876
182,0.23278278198595526,-1.37979,0.012785
183,0.23689315774966535,-1.39862,0.012927
184,0.23305391601485537,-1.38114,0.012796
185,0.18691969547489995,-1.36681,0.014184
186,0.23881476098740972,-1.38599,0.012669
187,0.22659583628926622,-1.37885,0.012986
188,0.2355622845055898,-1.38195,0.012721
189,0.17879261195015267,-1.3663,0.014459
190,0.23842869300823344,-1.37909,0.012578
191,0.23404856420738085,-1.37781,0.012711
192,0.22888291980397213,-1.38153,0.012947
193,0.23868982461213895,-1.38676,0.012685
194,0.23533122318636257,-1.38241,0.012736
195,0.22976314921950824,-1.38428,0.012958
196,0.2349244260218492,-1.3824,0.01275
197,0.2380578839185704,-1.38577,0.012692
198,0.2254133614190888,-1.36153,0.012765
199,0.23032352129300931,-1.3783,0.012848
200,0.2385056872901664,-1.38746,0.012702
201,0.23888965606748236,-1.38603,0.012667
202,0.23330968963583415,-1.38001,0.01277
203,0.23249487884315218,-1.37708,0.012754
204,0.2280890873234035,-1.37845,0.012928
205,0.2294739957735808,-1.38236,0.012939
206,0.23880239331404385,-1.37909,0.012565
207,0.2371448805752911,-1.39867,0.012919
208,0.23871376181933857,-1.38589,0.012671
209,0.23552548749671776,-1.37876,0.012674
210,0.2383899274861342,-1.38726,0.012703
211,0.17344146469674776,-1.29916,0.013629
212,0.2327280901234438,-1.3794,0.012781
213,0.2371870971207834,-1.38694,0.01274
214,0.23957567193186718,-1.38688,0.012656
215,0.2373873022662905,-1.39632,0.012875
216,0.2364179830672115,-1.39951,0.012957
217,0.22694313262109794,-1.3776,0.012955
218,0.2367798985518817,-1.39684,0.012904
219,0.23217409412895262,-1.3848,0.012882
220,0.23950512753312775,-1.38685,0.012658
221,0.2373569320956322,-1.387,0.012735
222,0.23834270360289933,-1.38583,0.012683
223,0.22841938845953608,-1.38357,0.012994
224,0.23713985631781392,-1.38736,0.012748
225,0.23722237778002053,-1.38603,0.012725
226,0.24025920410973833,-1.38746,0.012641
227,0.23739469644138328,-1.38636,0.012724
228,0.24105902818466313,-1.39802,0.012773
229,0.23081293064364777,-1.38405,0.012918
230,0.23779115133020745,-1.37888,0.012597
231,0.2079316056125321,-1.33192,0.012925
232,0.24018919180402043,-1.39721,0.012791
233,0.24031846194088952,-1.3983,0.012803
